month,avg viewers,gain viewers,peak viewers,avg streams,gain streams,peak streams,hours watched
2022-01-01,100599.0,547960.0,988449.0,1413.0,-155.0,2794.0,668105588.0
2022-02-01,75433.0,-631992.0,356457.0,1174.0,-450.0,2344.0,549780000.0
2022-03-01,81941.0,76738.0,433195.0,1116.0,-129.0,2215.0,588685868.0
2022-04-01,126020.0,1201410.0,1634605.0,1135.0,-23.0,2192.0,932589000.0
2022-05-01,78428.0,-1113397.0,521208.0,1165.0,-22.0,2170.0,563791485.0
2022-06-01,68442.0,636075.0,1157283.0,1148.0,-110.0,2060.0,500791318.0
2022-07-01,57186.0,-835196.0,322087.0,1175.0,133.0,2193.0,424127000.0
2022-08-01,80861.0,134390.0,456477.0,1096.0,-63.0,2130.0,574179228.0
2022-09-01,73816.0,236785.0,693262.0,994.0,-157.0,1973.0,514899411.0
2022-10-01,121325.0,579810.0,1273072.0,924.0,11.0,1984.0,872880280.0
2022-11-01,41945.0,-988081.0,284991.0,903.0,-196.0,1788.0,311955329.0
2022-12-01,52468.0,43166.0,328157.0,1111.0,455.0,2243.0,386108253.0
2023-01-01,82176.0,250266.0,578423.0,1190.0,42.0,2285.0,545875319.0
2023-02-01,89073.0,312089.0,890512.0,1354.0,713.0,2998.0,655103412.0
2023-03-01,112765.0,-301391.0,589121.0,1594.0,90.0,3088.0,808109536.0
2023-04-01,118738.0,498430.0,1087551.0,1458.0,-274.0,2814.0,880109530.0
2023-05-01,62865.0,-597939.0,489612.0,1346.0,-324.0,2490.0,446527569.0
2023-06-01,81222.0,-67930.0,421682.0,1350.0,-111.0,2379.0,599125000.0
2023-07-01,85021.0,164866.0,586548.0,1303.0,17.0,2396.0,628891000.0
2023-08-01,62757.0,-80962.0,505586.0,975.0,2160.0,4556.0,449625340.0
2023-09-01,86787.0,40863.0,546449.0,1773.0,-727.0,3829.0,641661584.0
2023-10-01,61178.0,-162486.0,383963.0,1267.0,-1367.0,2462.0,438961481.0
2023-11-01,50150.0,-81853.0,302110.0,1109.0,-129.0,2333.0,370819000.0
2023-12-01,71072.0,3711.0,305821.0,1261.0,170.0,2503.0,515967301.0
2024-01-01,95200.0,392228.0,698049.0,1371.0,639.0,3142.0,661793416.0
2024-02-01,122486.0,855701.0,1553750.0,1370.0,-342.0,2800.0,908142000.0
2024-03-01,76746.0,-1276742.0,277008.0,1291.0,-158.0,2642.0,549666687.0
2024-04-01,75568.0,40530.0,317538.0,1167.0,-206.0,2436.0,561792000.0
2024-05-01,61497.0,293415.0,610953.0,1072.0,-421.0,2015.0,439333734.0
2024-06-01,55901.0,19492.0,630445.0,1065.0,30.0,2045.0,414134000.0
2024-07-01,83456.0,89551.0,719996.0,1166.0,152.0,2197.0,609697000.0
2024-08-01,78604.0,-93094.0,626902.0,1156.0,55.0,2252.0,559775177.0
2024-09-01,63932.0,-194055.0,432847.0,1230.0,276.0,2528.0,467633319.0
2024-10-01,67250.0,5768.0,438615.0,1254.0,-61.0,2467.0,482863640.0
2024-11-01,73597.0,512501.0,951116.0,1296.0,46.0,2513.0,547003000.0
2024-12-01,80586.0,-425178.0,525938.0,1714.0,1157.0,3670.0,595945000.0
2025-01-01,103137.0,426992.0,952930.0,1877.0,46.0,3716.0,689849646.0
2025-02-01,107709.0,-320940.0,631990.0,1769.0,70.0,3786.0,797808149.0
2025-03-01,87188.0,195736.0,827726.0,1681.0,-262.0,3524.0,627951317.0
2025-04-01,99822.0,-105695.0,722031.0,1601.0,-252.0,3272.0,741902172.0
2025-05-01,117782.0,424796.0,1146827.0,1481.0,-219.0,3053.0,848466647.0
2025-06-01,86343.0,-590801.0,556026.0,1519.0,-55.0,2998.0,642565317.0
2025-07-01,91794.0,178269.0,734295.0,1558.0,46.0,3044.0,682532909.0
2025-08-01,64286.0,-289081.0,445214.0,1447.0,-92.0,2952.0,154211193.0
