videoId,publishedAt,channelId,channelTitle,title,description,viewCount,likeCount,commentCount,favoriteCount,categoryId
GUXhPoGmfo4,2007-05-24T16:13:27Z,UCb1QoarVulD_kkor6X-MczA,oteciano,Counter Strike,...,306,0,0,0,24
icmCQnJi9hY,2007-05-13T21:21:09Z,UCsDISZeijq99JanExaoyQmw,idleboyy856,Bl!nK`s counter-strike video,My history of pwnage video i hope you enjoy it,304,4,0,0,24
MSCWh6VlseY,2007-05-14T10:28:21Z,UC5UWlmB-9CoYo46H4he7vlQ,CSangeloCS,skill^ - Counter-Strike,just look :D,302,1,0,0,24
4elUp0zoGSo,2007-05-18T18:37:20Z,UCYjt8C9fnOPnfhiTdgWcu2Q,gadylio89,300 counter strike,300 counter strike,299,0,0,0,1
KFRALcCWwBI,2007-05-27T07:06:51Z,UCH6AUPB-gj2zdXw7K5FVrkg,green717,Counter Strike:Condition Zero S5 Preason Week 2,"Counter Strike:Condition Zero
CZ Open S5 Preason Week 2
De_Aztec_cz",298,2,2,0,24
HAWWMtxfQZ4,2007-05-13T19:37:20Z,UCESk_1a7-GgC7M2WhmYUK7Q,hundbajs123,counter-strike,jätte bra!,298,3,3,0,23
oYT3A9eU1Oc,2007-09-25T21:07:16Z,UCJJAqqtMsUjPjon0TexjK7A,LaaKso91,Counterstrike 1shot,Counterstrike 1shot,286,1,0,0,23
IUiedVXDRso,2007-09-08T13:38:45Z,UCDl7qM_PKfumdBT0JfxXkUQ,Pebo852,"counter-strike,pebo,cs",ONE VIDEO FROM MY ALBUM,285,0,1,0,24
A1GTa4SKikU,2007-09-01T17:08:27Z,UCpqNZYbU-PV-z6XQNoQCPSQ,xLocutusx89,Team Scrubs Counter Strike,Counter Strike Video,282,3,4,0,24
MdrXzPTzOY8,2007-09-13T19:06:28Z,UCF9WkumZDY6zQqcD9Jb6A-g,Bedava0Silk,Counter-Strike Pwnage Video...,"Counter Strike 1.6 Online Pwnage Video,
Have Fun...",280,1,1,0,24
KbtYcc_s4EA,2007-09-28T01:18:17Z,UCR-VGBXZLSvrpiwHHhPEgQg,Lilbkcuhz,Counter Strike Clips of Lilbkcuhz,just a video of me fuccin around in a pub,280,0,1,0,24
qpStTibSeZ4,2007-09-14T15:35:26Z,UCltIghU9Z4tGBmrqWJZFLug,kulabakulaba,Counter-strike Berény,cs........,277,1,0,0,24
NBAPBsGG024,2007-09-20T19:24:36Z,UCL-cMsp2pb8g9JhjBYfxQhQ,GAMEST96,counter strike parody,r'hjdfigjpifhg'wsig,272,3,1,0,23
72XVFiHt4tw,2007-09-14T16:45:53Z,UCZw9xz3cVIMsfXn9DJapDKg,Messy Uzunov,Counter Strike UnNa7uRal,This is UnNa7uRal,268,0,0,0,24
GJ1ghdpVktc,2007-09-16T03:57:22Z,UC_FHJaOTLBZXM84bi9Pc7iQ,mack0player,counter strike 1.6 mack,"beanlo
sigan jugando cs!",254,1,0,0,24
Qqv5DZFigh4,2007-09-16T15:43:28Z,UCMA7mMfKrdiFiobdyZXSn1Q,Anticristul,Counter Strike best frags !!!RedBull%wa$y,RedBull and wa$y in action,253,0,0,0,17
ScOgE6MwR1s,2007-09-04T17:50:25Z,UC1GAzGwzY1PQ3-0lGzHh8aA,RewicoPL,Counter Strike *3.H-h*2,Zapraszamy!!,252,0,0,0,1
2Ji4i6u3iyc,2007-09-25T18:50:21Z,UC6OGMp8ZJyQqNhQgQhriE7g,maviustags,counter strike 1.6,Csking19,248,0,1,0,19
2ZG-zrlTcto,2007-09-30T21:38:34Z,UCmCM21pJYCFwlTk1kSpUuXg,Javier “crazydemente” Larrañaga,eL.Longuii ~ Yo en el counter strike,"Aqui toy yo jugando en el counter, es un pequeño video, de ahi hare mas grandes xD y con mejores efectos y con sonido :D",246,0,0,0,24
m9iO2pycIYQ,2007-09-21T17:41:08Z,UCr1Om8H_7aKUlA1yEiMuGDw,lgb333,counter-strike kills,a lot of counter-strike kills:D,245,0,1,0,1
VOOfvk_uFnY,2007-09-09T18:42:31Z,UCefFmt-MrBWXIegwTaAaI_g,masterx243,TimberM Server,SPL (ME) is the owner of The timberm server and as i show you what is going on in the server visit our site at www.timberm.weebly.com,244,0,0,0,24
G47LAeP5_CI,2007-09-30T14:55:36Z,UCd6aaINMKKZS4UU6ODy6oeg,manyflash1,Counter strike by NoXed,...,244,0,0,0,23
f4UUno3i0iE,2007-09-17T21:49:08Z,UCHInVtcz6JZZSTmR5DxdQ8g,Carl B,-=anti=- goes Counterstrike Source - I Miss Them - Mean Mr Mustard,"My first attempt at making any kind of video. Enjoy.

Footage from VIA, Teeside and the old FnP Public Server.",243,0,0,0,20
tlvQZ-t8F3I,2007-09-30T16:19:11Z,UCrXYVmO-u27nbvtCqExqbgw,LINKTedRusse,Counter-Strike Deagle 4Kills,LINK TedRusse,239,0,0,0,24
